1,306,963,476,951,478,977,307,990, Thu ngân: BH3
2,90,922,673,895,674,927,91,954, SỐ GD: 000AC2212008002112 Ngày: 15/08/2020-17:49
3,70,861,357,857,358,886,71,890, Giá trị thưởng tích lũy:
4,600,843,680,838,681,865,601,870, 19,195
5,70,820,268,812,270,842,70,850, Hạng hiện thời:
6,71,773,267,770,267,799,71,802, Điểm hiện thời:
7,610,761,678,756,680,785,612,790, 2,105
8,73,728,211,728,211,755,73,754, Điềm mua:
9,82,682,344,680,344,710,82,712, (O) nguyễn thị hương
10,83,642,384,638,384,662,83,666, Mã thẻ: A10000000614
11,579,576,670,576,671,602,578,601, 991,000
12,366,575,423,574,423,601,366,602, VND
13,78,574,262,571,262,597,78,600, Tiền khách trả:
14,577,535,667,536,666,563,576,562, 991,000
15,76,535,220,536,219,566,76,565, Tổng cộng:
16,73,495,181,497,180,530,72,528, Tổng số:
17,581,452,659,455,658,481,580,478, 25,000
18,427,451,507,450,508,477,428,478, 25,000
19,295,449,345,448,346,472,296,473, BIC
20,88,410,520,417,519,443,88,435, 291020080000 hướng dương 0,4kg NT
21,562,379,650,382,650,406,562,403, 966,000
22,412,378,502,380,502,402,413,401, 322,000
23,294,377,344,376,345,395,295,396, hop
24,96,340,624,350,623,376,95,366, 8934673191197 sữa bột optimum gold 4 900g NT
25,236,313,627,319,627,345,236,338, SL
26,108,306,223,315,222,337,107,328, Tên hàng
27,232,274,530,282,529,311,231,303, HÓA ĐƠN BÁN HÀNG
28,241,203,509,215,507,236,239,224, Chợ Sủi Phú Thị Gia Làm
29,269,169,482,183,481,205,269,191, MINIMARTANAN
