1,385,984,703,1001,700,1035,383,1018, Hàng đã mua miễn trả lại
2,343,924,744,936,743,969,341,957, Cảm ơn quy khách đã mua hàng
3,436,884,648,891,646,921,434,915, đúng hướng dẫn.
4,295,843,795,852,795,890,295,882, Đề nghị quý khách bảo quản thuốc theo
5,588,794,885,794,884,834,588,833, - Tiền hàng: 46.000
6,111,789,332,791,331,828,111,826, - Tổng khoản:1
7,695,736,788,735,788,770,695,771, 1.150
8,893,732,990,727,992,763,895,767, 46.000
9,190,738,457,735,457,765,190,768, Dưỡng tâm an thần
10,816,677,982,675,983,709,817,711, Thành tiền
11,701,680,768,679,769,712,702,713,
12,311,675,457,682,456,717,310,711, Tên hàng
13,480,632,998,628,997,662,480,667, Thời gian in:14:14:32-14/08/2020
14,96,588,352,582,353,616,97,622, Người mua: Hà Kt
15,93,535,604,535,604,570,93,571, Nhân viên bán hàng: Ngô Thị Trang
16,91,486,850,470,851,509,92,524, Ngày mua: 14:14:24 14/08/2020 Mã phiếu: 002512
17,340,414,737,406,738,452,341,460, HÓA ĐƠN BÁN LỄ
18,483,359,765,356,765,386,483,389, DĐ: 09.777.38.868
19,265,299,986,292,987,341,266,347, Số 178 Trần Phú, Hồng Sơn, TP. Vinh, Nghệ An
20,457,254,794,255,794,294,457,292, THÀNH PHỐ VINH
