1,146,982,531,978,531,1004,146,1008, Xin cám ơn và họn gặp lại quý khách 1
2,271,963,421,959,422,980,271,985, Thu ngân: BH3
3,532,873,605,868,607,894,535,900, 15,131
4,78,871,314,877,314,904,78,898, Giá trị thưởng tích lũy:
5,79,835,239,838,238,865,78,861, Hạng hiện thời:
6,542,797,606,793,607,821,544,825, 1,086
7,79,793,240,797,239,826,78,822, Điểm hiện thời:
8,81,757,194,761,193,786,81,782, Điêm mua:
9,87,721,264,723,263,749,87,746, (0) mai thị hương
10,87,688,341,686,341,707,87,709, Mã thẻ: A10000000834
11,516,630,596,629,596,653,516,654, 145,000
12,325,629,375,629,375,654,325,654, VND
13,81,625,238,627,237,653,80,650, Tiển khách trả:
14,513,596,594,595,594,618,513,619, 145,000
15,81,595,185,594,186,621,82,622, Tổng tiền:
16,512,552,594,551,594,574,512,575, 145,000
17,84,549,200,553,198,579,83,575, Tổng cộng:
18,75,518,173,521,172,546,73,543, Tổng số:
19,519,478,589,477,590,500,520,501, 14,000
20,382,478,449,477,450,500,383,501, 14,000
21,266,479,308,478,309,498,267,499,
22,93,446,570,445,570,467,92,468, 8938504306552 đậu phộng cốt dừa thành côn No
23,518,410,587,409,587,431,518,432, 58,000
24,392,409,450,408,450,432,392,433, 7,250
25,266,409,311,408,311,429,266,430, hop
26,93,406,177,407,176,430,92,428, Giá bán:
27,395,379,452,378,452,401,395,402, 7,500
28,94,374,215,377,214,399,93,396, Giá đăng ký:
29,94,342,568,346,568,371,94,368, 2910071800000 Sữa đàn bò VNM đường 180ml nt
30,515,312,582,311,582,334,515,335, 48,000
31,391,314,448,310,450,333,392,337, 4,000
32,268,312,311,311,311,332,268,333, CHA
33,98,310,182,309,182,328,98,329, Giá bán:
34,394,283,450,282,450,305,394,306, 4,500
35,100,276,218,280,217,302,99,298, Giá đăng ký:
36,511,216,580,215,580,238,511,239, 25,000
37,382,217,448,216,448,240,382,241, 25,000
38,270,218,312,217,312,237,270,238, GOI
39,107,189,543,187,544,209,108,211, 8936103590563 bột ớt kim chi hàn quốc 100 NT
40,118,158,214,161,213,180,117,178, Tên hàng
41,203,157,565,154,565,178,203,181,
42,216,117,479,117,479,146,216,146, HÓA ĐƠN BÁN HÀNG
43,222,41,466,46,465,68,221,64, Chợ Sủi Phú Thị Gia Lâm
44,248,8,445,14,444,36,247,30, MINIMART ANAN
