1,30,972,192,971,192,989,30,990, Chụp bâng Galaxy M21
2,29,949,238,948,239,970,30,971, Samsung Triple Camera
3,30,924,81,923,81,942,30,943,
4,147,813,344,810,344,829,147,832, Powered by POS365.VN
5,154,784,340,782,340,803,154,805, Cảm ơn và hẹn gặp lạil
6,43,733,250,728,251,750,43,754, Ba mươi nghin đồng chắn
7,234,697,313,700,312,719,234,717, Tiền thừa:
8,379,667,435,667,435,685,379,685, 30,000
9,187,668,313,668,313,689,187,689, Tiền khách đưa:
10,379,637,433,637,433,656,379,656, 30,000
11,218,632,312,637,311,663,217,658, Tổng cộng:
12,218,607,312,607,312,626,218,626, Chiết khấu:
13,179,576,310,578,309,601,179,598, Cộng tiền hàng:
14,376,577,430,577,430,596,376,596, 30,000
15,375,527,429,527,429,546,375,546, 30,000
16,48,530,104,527,104,546,49,550, 30,000
17,49,501,232,500,232,522,49,523, Up Sz Quất Nha Đam
18,342,472,428,472,428,491,342,491, Thành tiền
19,48,471,117,473,116,495,47,494, Đơn giá
20,49,420,107,419,107,438,49,439, Địa chỉ:
21,48,394,88,393,88,412,48,413, SĐT:
22,49,367,142,368,142,387,48,386, Khách hàng
23,159,335,327,335,327,350,159,350, 13/08/2020 - 20: 29
24,111,305,373,306,373,328,111,326, Số : HD130820-0021 - Bản: B. ĐỊA)
25,147,283,335,282,335,300,147,301, NÓÓ ĐƠN BÁN HÀNG
26,145,242,335,241,335,262,145,263, ĐT: 0858.931.931
27,101,214,382,212,382,235,101,237, Tp. Cẩm Phả - Quảng Ninh
28,56,189,419,187,419,212,56,214, Tổ 7 khu Tân Lập 4 - P.Cẩm Thủy
29,192,159,289,159,289,185,192,185, PHÓ MÔN
