1,269,878,522,883,521,901,268,896, Xin cám ơn và hẹn gặp lại quý khách I
2,349,862,449,864,448,883,349,881, Thu ngân: BHS
3,235,837,566,841,566,859,234,855, SỐ GD: 000AB2212008002426 Ngày: 09/08/2020-21:20
4,521,809,568,809,568,825,521,825, 27,814
5,223,805,380,808,379,826,222,823, Giá trị thưởng tích lũy:
6,224,784,329,784,329,802,224,802, Hạng hiện thời:
7,529,762,568,762,568,778,529,778, 9,720
8,224,758,328,758,328,777,224,777, Điểm hiện thời:
9,224,735,297,735,297,750,224,750, Điêm mua:
10,226,710,389,710,389,729,226,729, (0) Hoàng Thanh Tuyên
11,225,687,394,687,394,702,225,702, Mã thẻ: A1000000011000
12,519,651,566,651,566,667,519,667, 90,996
13,220,646,325,646,325,665,220,665, Tiển khách trả:
14,517,625,566,625,566,644,517,644, 90,996
15,220,624,290,624,290,643,220,643, Tổng tiền:
16,221,595,298,599,297,618,220,614, Tổng cộng:
17,516,596,563,596,563,612,516,612, 90,996
18,221,575,280,575,280,593,221,593, Tổng số:
19,227,547,285,547,285,565,227,565, Giá bán:
20,511,545,560,545,560,564,511,564, 60,000
21,420,546,465,544,466,561,421,563, 10,000
22,228,526,310,526,310,544,228,544, Giá đăng ký:
23,421,525,466,525,466,541,421,541, 11,000
24,230,506,472,506,472,521,230,521, 291006600000 Nước redbull 250ml NT
25,230,481,286,481,286,496,230,496, Giá bán:
26,509,480,555,480,555,496,509,496, 30,996
27,424,479,466,479,466,498,424,498, 5,166
28,231,459,310,461,309,477,230,475, Giá đăng ký:
29,425,460,464,457,465,473,426,476, 5,500
30,229,438,503,436,503,454,229,457, 291006330000 Nước C2 trà xanh 360ml NT
31,303,423,320,423,320,431,303,431,
32,236,416,302,419,302,435,235,432, Tên hàng
33,316,418,405,417,405,433,317,434,
34,400,416,544,415,544,433,400,434, Đơn giá Thành tiến
35,304,390,485,389,486,411,304,412, HÓA ĐƠN BÁN HÀNG
36,309,339,476,337,476,352,309,354, Chợ Sủi Phú Thị Gia Lâm
37,325,313,461,311,462,330,325,331, MINIMARTANAN
