1,293,1141,768,1141,768,1183,292,1183, Cám ơn quý khách. Hẹn gặp lại:
2,161,1041,413,1049,412,1097,159,1089, Cộng tiền hàng
3,785,1046,901,1044,901,1087,786,1089, 52,000
4,462,974,560,972,561,1013,462,1015, 6,500
5,782,973,898,972,898,1012,782,1013, 52,000
6,170,915,513,914,513,949,170,949, Sữa tươi Milo 180 ml
7,452,852,572,854,572,894,452,892, Đơn giá
8,729,854,888,850,890,890,730,894, Thành tiền
9,185,733,368,735,368,763,185,761, Só: SON55659
10,656,736,881,735,880,765,656,766, Ngày: 12-08-2020
11,379,672,683,673,683,703,380,702, HÓA ĐẾN BÁN HÀNG
12,369,568,692,572,692,597,369,593, 0869322496-02438765210
13,199,521,864,523,864,557,200,555, Thôn Phú Thuy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội
14,371,476,689,482,688,511,370,506, CỬA HÀNG NĂM OÁNH
