1,129,946,564,950,563,982,129,978, Xin cám ơn và hẹn gặp lại quý khách là
2,271,920,440,917,441,946,272,948, Thu ngân: BH3
3,73,877,640,873,639,899,72,902, SỐ GD: 000AC2212008001734 Ngày: 13/08/2020-15:30
4,40,819,221,819,221,848,41,848, Tiền trả lại VND:
5,547,819,646,817,647,847,548,849, 111,000
6,49,772,231,772,230,798,48,798, Tiền khách trả:
7,331,774,389,774,388,803,330,803, VND
8,550,775,647,776,646,803,549,802, 200,000
9,49,733,171,731,173,765,50,767, Tổng tiền:
10,563,735,646,736,646,762,563,761, 89,000
11,53,682,188,687,186,718,51,712, Tổng cộng:
12,563,682,643,683,642,710,562,709, 89,000
13,51,646,154,648,154,678,51,676, Tổng số:
14,61,597,160,598,159,624,60,623, Giá bán:
15,263,596,315,594,315,618,264,621, HOP
16,555,595,638,596,637,622,554,621, 26,000
17,409,595,477,593,477,621,410,623, 6,500
18,61,558,206,561,206,587,61,583, Giá đăng ký:
19,411,558,478,556,479,583,412,585, 7,000
20,64,523,560,521,559,547,64,548,
21,267,482,316,482,316,502,267,502, HOP
22,64,477,163,480,163,506,64,502, Giá bán:
23,409,480,475,478,477,505,411,507, 5,750
24,552,479,633,480,633,506,552,505, 23,000
25,65,439,208,444,207,469,65,465, Giá đăng ký:
26,410,444,476,441,478,467,412,471, 6,000
27,68,404,514,406,513,435,67,433, 8934673616829 sữa chua vnm 100% NT
28,268,369,316,369,316,388,268,388, LON
29,395,367,473,364,474,390,396,393, 10,000
30,551,363,629,364,629,391,551,390, 40,000
31,72,331,505,330,505,356,72,356, 291001750000 Bia Hà Nội Ion 330ml NT
32,80,291,612,294,613,324,80,321,
33,203,248,509,249,509,282,204,282, HÓA ĐƠN BÁN HÀNG
34,213,163,494,163,495,185,213,186, Chợ Sủi Phú Thị Gia Lâm
35,245,125,469,127,469,149,245,147, MINIMARTANAN
