1,250,876,536,880,536,902,250,898, Xin cám ơn và hẹn gặp lại quý khách l
2,342,855,452,853,453,876,343,877, Thu ngân: BH3
3,216,826,582,827,582,845,216,844, SỐ GD: 000AC2212008001139 Ngày: 09/08/2020-18:28
4,194,789,309,789,309,807,194,807, Tiển trả lại VND:
5,522,789,584,789,584,808,522,808, 162,000
6,519,757,585,760,584,782,518,779, 200,000
7,199,758,315,757,315,776,199,778, Tiển khách trả:
8,199,734,284,736,283,755,198,753, Tổng cộng
9,529,732,583,732,583,752,529,752, 38,000
10,200,709,265,709,265,732,200,732, Tổng số:
11,421,675,472,675,472,694,421,694, 19,000
12,326,674,367,675,367,694,326,693, GOI
13,523,674,576,674,576,693,523,693, 38,000
14,207,653,477,651,476,669,206,671, 8936009050154 thuốc lá vina mới nt
15,211,627,564,622,564,643,212,649,
16,292,595,495,594,495,616,293,618, HÓA ĐƠN BÁN HÀNG
17,296,533,484,532,484,550,296,552, Chợ Sủi Phú Thị Gia Làm
18,315,506,466,504,466,523,315,524, MINIMARTANAN
