1,43,962,241,967,240,985,42,980, Chụp băng Galaxy M21
2,43,933,295,941,295,964,42,956, Samsung Triple Camera
3,49,903,105,905,105,925,49,923,
4,175,597,379,592,380,614,175,620, XIN CẢM ƠN QUÍ KHÁCH:
5,130,573,255,572,255,590,130,591, Tổng số thanh toán:
6,371,568,438,566,438,586,371,587, 390.000d
7,130,548,264,549,264,567,131,566, Chiết khấu bán hàng:
8,132,527,204,529,203,547,131,545, Tổng cộng:
9,369,525,434,521,436,541,370,544, 390.000d
10,132,503,193,505,192,528,131,526, Balo 846
11,271,505,340,505,339,523,271,523, 1170.000
12,373,503,436,502,436,521,372,521, 170.0000
13,132,486,196,488,195,506,132,504, Móc khóa
14,292,487,337,488,337,504,292,503, 10.000
15,379,484,435,482,436,500,380,502, 10.0000
16,133,465,221,471,220,489,131,483, Ô tự động đep
17,281,468,337,466,337,481,281,483, 210.000
18,372,464,434,462,434,481,371,482, 210.0000
19,134,443,197,448,197,466,133,461, Tên hàng
20,255,446,321,444,321,463,256,465,
21,335,442,433,441,433,460,335,461, Ck Thành tiên
22,140,426,335,425,335,443,139,444, Thời gian:08:12:43 - 13/08/2020
23,140,407,354,406,355,423,140,425, ĐT 0333363328 - Fax 0333863328
24,142,388,261,390,261,405,141,403, Nhân viên thu ngân
25,138,365,374,360,374,382,140,387, Đo: 212 Đường Trấn Phú-Cẩm Phả
26,186,347,383,340,384,360,186,366, NHÀ SÁCH GD-TC CẨM PHẢ
