1,234,991,547,990,547,1011,234,1013, Xin cám ơn và hẹn gặp lại quý khách l
2,338,971,458,973,459,992,339,990, Thu ngân: BH1
3,195,939,602,935,602,960,195,964, SỐ GD: 000AB2212008002891 Ngày: 12/08/2020-07:04
4,546,895,614,894,614,913,546,914, 36,415
5,182,897,376,898,376,919,182,919, Giá trị thưởng tích lũy:
6,183,870,317,868,317,889,183,891, Hạng hiện thời:
7,547,836,602,836,603,855,548,855, 13,528
8,184,836,315,836,316,858,184,858, Điểm hiện thời:
9,188,808,278,806,278,825,188,827, Điêm mua:
10,189,776,327,774,328,795,190,797, (0) lò thị nghiêm
11,191,748,395,747,395,766,191,766, Mã thẻ: A10000000344
12,534,705,598,704,599,723,535,724, 108,000
13,381,704,421,703,422,723,382,724, VND
14,188,700,312,702,313,721,188,719, Tiển khách trả:
15,532,674,596,675,595,696,531,694, 108,000
16,188,672,279,675,277,698,186,695, Tổng cộng 1
17,190,649,259,648,260,670,191,671, Tổng số:
18,544,614,592,614,592,635,544,635, 6,000
19,436,615,487,614,487,633,436,634, 6,000
20,336,610,388,616,386,636,333,631,
21,199,588,517,590,517,611,199,610, 8935039513189 Bột chiên ajiquick 35g NT
22,542,558,590,561,589,580,541,578, 5,000
23,415,564,480,557,482,576,418,584, 02,500
24,201,535,482,535,481,555,201,554, 291017950000 Mikokomi Tôm gà NT
25,531,506,587,508,587,528,531,526, 15,000
26,427,509,477,508,478,524,428,525, 15,000
27,203,480,470,483,469,501,202,499, 291000020000 Đường trắng 1kgnn
28,534,456,584,455,584,471,534,472, 10,000
29,427,454,479,453,479,472,427,473, 10,000
30,204,427,479,430,479,448,203,445, 291006720000 dg thái dương dây nt
31,530,402,583,401,583,420,530,421, 30,000
32,435,402,479,401,479,420,435,421, 6,000
33,205,374,492,379,492,397,205,392, 291005580000 Mi omachi sườn 80g nt
34,531,354,580,353,580,369,531,370, 17,000
35,434,351,478,350,478,369,434,370, 8,500
36,207,321,518,325,517,347,207,343, 291035700000 sữa chua nếp cẩm vnm NO
37,529,303,579,302,580,318,530,319, 25,000
38,425,299,477,298,478,318,426,319, 25,000
39,209,276,466,275,465,294,209,294, 8934988030020 Dấu cái lân 1 LTN
40,465,252,570,253,570,271,464,271, Tác Thành tiển
41,409,251,474,253,474,271,408,269, Đơn giá
42,309,253,385,252,385,271,309,272,
43,216,251,292,255,291,273,215,269, Tên hàng
44,296,223,503,225,503,247,296,246, HÓA ĐƠN BÁN HÀNG
45,299,168,492,168,493,188,300,187, Chợ Sòi Phú Thị Gia Lam
46,321,146,472,143,472,161,321,164, MINIMART ANẠN
