1,146,964,471,971,470,996,146,990, Xin cám ơn và hẹn gặp lại quý khách l
2,255,940,380,944,380,968,255,966, Thu ngân: BH1
3,108,906,529,912,529,938,108,931, SỐ GD: 000AB2212008004128 Ngày: 17/08/2020-09:59
4,94,865,295,866,295,890,94,888, Giá trị thưởng tích lũy:
5,472,869,533,869,533,892,471,891, 18,909
6,95,838,235,835,235,857,96,860, Hạng hiện thời:
7,98,802,235,804,235,826,98,825, Điểm hiện thời:
8,481,805,532,807,532,830,482,829, 1,535
9,100,773,197,773,196,795,100,795, Điêm mua:
10,105,742,270,742,270,764,106,764, (0) nguyễn thị định
11,106,712,320,714,320,734,106,732, Mã thẻ: A10000000123
12,104,664,235,665,235,686,103,685, Tiển khách trả:
13,471,669,532,670,531,692,471,692, 40,000
14,106,637,206,641,205,663,105,659, Tổng cộng:
15,108,610,181,611,181,635,107,634, Tổng số:
16,471,639,531,640,530,663,471,662, 40,000
17,366,579,415,579,415,599,366,599, 5,500
18,478,582,525,579,527,601,478,602, 5,500
19,118,551,452,553,452,574,119,572, 291029760000 bánh kem xốp đại phát NO
20,359,525,415,523,415,543,360,544, 20,000
21,468,524,525,523,525,543,468,544, 20,000
22,368,470,415,469,416,489,368,490, 6,000
23,475,468,523,466,524,485,476,487, 6,000
24,270,415,304,418,303,434,269,431, GOI
25,368,415,415,414,415,434,369,435, 8,500
26,476,411,523,410,524,430,476,432, 8,500
27,224,335,443,330,444,354,225,359, HÓA ĐƠN BÁN HÀNG
28,234,273,431,266,432,284,234,291, Chợ Sủi Phú Thị Gia Lâm
29,255,243,412,233,413,255,256,266, MINIMART ANAN
30,215,185,390,187,390,236,215,235,
