1,250,904,505,898,505,912,250,918, Xi Xin cám an và họn gặp lại quý khách linh
2,334,888,435,886,436,900,335,902, Thu ngân: BH3
3,212,866,556,863,556,881,212,884, SỐ GD: 000AC2212008001287 Ngày: 10/08/2020-17:12
4,519,836,562,836,562,852,519,852, 9,960
5,199,834,365,836,364,855,198,853, Giá trị thưởng tích lũy:
6,197,813,313,815,313,833,197,832, Hạng hiện thời:
7,197,787,310,789,310,808,196,807, Điểm hiện thời:
8,196,764,277,765,277,784,195,783, Điêm mua:
9,200,738,318,737,319,758,200,759, (0) nguyễn thị lí
10,198,713,379,711,379,729,198,731, Mã thẻ: A10000001377
11,513,675,562,675,562,691,513,691, 42,000
12,193,672,305,670,305,688,193,690, Tiển khách trả:
13,512,649,561,649,562,665,513,665, 42,000
14,193,647,270,648,270,671,193,669, Tổng tiền:
15,511,617,560,617,560,633,511,633, 42,000
16,194,616,279,620,278,639,193,635, Tổng cộng:
17,195,596,259,595,259,614,195,615, Tổng số:
18,506,564,555,564,555,580,506,580, 42,000
19,416,565,456,564,456,580,416,581, 2,800
20,201,564,263,564,263,582,201,582, Giá bán:
21,417,542,458,541,458,557,417,558, 3,000
22,203,538,290,541,289,559,202,556, Giá đăng ký:
23,203,518,505,517,504,534,203,535, 291026450000 kem sữa chua subo VNM NT
24,389,495,542,495,542,513,390,513, Đơn giá Thành tiến
25,298,493,399,495,399,513,298,512,
26,209,494,305,497,305,515,210,512, Tên hàng
27,285,467,481,467,480,488,285,488, HÓA ĐƠN BÁN HÀNG
28,292,415,468,415,468,431,293,431, Chợ Sủi Phú Thị Gia Lâm
29,311,390,453,390,453,408,310,408, MINIMART ANAN
